question_id,question_name,organisation_id,organisation_short,agency_short,result,result_evidence,result_comments
1,FOIA,3,Austria,,1,,
2,IATI,3,Austria,,0,,
3,Allocation policy,3,Austria,,4,http://www.entwicklung.at/uploads/media/3JP_2010-2012.pdf,
4,Procurement policy,3,Austria,,4,http://www.entwicklung.at/foerderungen-und-ausschreibungen/,"Procurement policies are in several different locations, depending on the aid modality."
5,Organisation budget,3,Austria,,4,http://www.entwicklung.at/uploads/media/3JP_2010-2012.pdf,
6,Forward budget,3,Austria,,4,http://www.entwicklung.at/uploads/media/3JP_2010-2012.pdf,
7,Audit,3,Austria,,1,,
8,Country strategy,3,Austria,,4,http://www.entwicklung.at/uploads/media/Uganda_CS_2010-2015.pdf,
9,Country forward budget,3,Austria,,2,,
10,Evaluation,3,Austria,,3,http://www.entwicklung.at/aktivitaeten/evaluierung/evaluierungen_gelistet_nach_jahren/,
11,Results,3,Austria,,2,,
12,Project Implementer,3,Austria,,4,http://www.entwicklung.at/foerderungen-und-ausschreibungen/projektliste/?no_cache=1&tx_sysfirecdlist_pi1%5BshowUid%5D=243&cHash=3d2d458ab7,
13,Collaboration type,3,Austria,,2,,Not stated per activity; country strategy paper refers to both multilateral and bilateral funding.
14,Flow type: ODA / OOF,3,Austria,,2,,
15,Project / budget support,3,Austria,,2,,
16,Grant / loan,3,Austria,,2,,
17,Unique ID,3,Austria,,4,http://www.entwicklung.at/foerderungen-und-ausschreibungen/projektliste/?no_cache=1&tx_sysfirecdlist_pi1%5BshowUid%5D=243&cHash=3d2d458ab7,
18,Project Title,3,Austria,,4,http://www.entwicklung.at/foerderungen-und-ausschreibungen/projektliste/?no_cache=1&tx_sysfirecdlist_pi1%5BshowUid%5D=243&cHash=3d2d458ab7,
19,Description,3,Austria,,4,http://www.entwicklung.at/foerderungen-und-ausschreibungen/projektliste/?no_cache=1&tx_sysfirecdlist_pi1%5BshowUid%5D=243&cHash=3d2d458ab7,
20,Sectors,3,Austria,,3,http://www.entwicklung.at/foerderungen-und-ausschreibungen/projektliste/?no_cache=1&tx_sysfirecdlist_pi1%5BshowUid%5D=243&cHash=3d2d458ab7,
21,Planned dates,3,Austria,,2,,
22,Actual dates,3,Austria,,2,,
23,Tied aid status,3,Austria,,2,,
24,Overall cost,3,Austria,,4,http://www.entwicklung.at/foerderungen-und-ausschreibungen/projektliste/?no_cache=1&tx_sysfirecdlist_pi1%5BshowUid%5D=243&cHash=3d2d458ab7,
25,Transactions,3,Austria,,2,,
26,Current status,3,Austria,,2,,
27,Contact details,3,Austria,,2,,
28,Project website,3,Austria,,2,,
29,Impact appraisal,3,Austria,,2,,
30,Objectives,3,Austria,,3,http://www.entwicklung.at/foerderungen-und-ausschreibungen/projektliste/?no_cache=1&tx_sysfirecdlist_pi1%5BshowUid%5D=243&cHash=3d2d458ab7,
31,Beneficiaries,3,Austria,,3,http://www.entwicklung.at/foerderungen-und-ausschreibungen/projektliste/?no_cache=1&tx_sysfirecdlist_pi1%5BshowUid%5D=243&cHash=3d2d458ab7,
32,Conditions,3,Austria,,2,,
33,Budget docs,3,Austria,,2,,
34,Tender docs,3,Austria,,2,,
35,Contract docs,3,Austria,,2,,
36,MoU / agreement,3,Austria,,2,,
37,Project design docs,3,Austria,,2,,
1,FOIA,4,Belgium,,1,,
2,IATI,4,Belgium,,0,,
3,Allocation policy,4,Belgium,,4,http://diplomatie.belgium.be/fr/politique/cooperation_au_developpement/publications_et_documentation/documents_politiques/ ,
4,Procurement policy,4,Belgium,,4,http://www.btcctb.org/fr/marches-publics,Procurement procedures described within each individual tender.
5,Organisation budget,4,Belgium,,2,,Can't locate - link provided didn't go to a budget. Searched donor website and budget website.
6,Forward budget,4,Belgium,,2,,"Indicative budgets available for individual countries, but not overall."
7,Audit,4,Belgium,,2,,This information can be obtained on specific request to the DGD.
8,Country strategy,4,Belgium,,4,http://diplomatie.belgium.be/fr/politique/cooperation_au_developpement/pays/pays_partenaires/rd_congo/index.jsp,
9,Country forward budget,4,Belgium,,4,http://diplomatie.belgium.be/fr/binaries/pic_rdc_2010-2013_tcm313-83747.pdf,
10,Evaluation,4,Belgium,,2,,
11,Results,4,Belgium,,3,http://apps.diplomatie.belgium.be/Oda/ ,
12,Project Implementer,4,Belgium,,4,http://www.btcctb.org/files/web/Projetd%E2%80%99Appui%20aux%20Initiatives%20de%20D%C3%A9veloppement%20Communautaire%20%C3%A0%20Tshopo%20%28PAIDECO%20TSHOPO%29.pdf*****http://apps.diplomatie.belgium.be/Oda/ ,
13,Collaboration type,4,Belgium,,3,http://www.btcctb.org/files/web/Projetd%E2%80%99Appui%20aux%20Initiatives%20de%20D%C3%A9veloppement%20Communautaire%20%C3%A0%20Tshopo%20%28PAIDECO%20TSHOPO%29.pdf,
14,Flow type: ODA / OOF,4,Belgium,,4,http://www.btcctb.org/files/web/Projetd%E2%80%99Appui%20aux%20Initiatives%20de%20D%C3%A9veloppement%20Communautaire%20%C3%A0%20Tshopo%20%28PAIDECO%20TSHOPO%29.pdf,
15,Project / budget support,4,Belgium,,4,http://www.btcctb.org/files/web/Projetd%E2%80%99Appui%20aux%20Initiatives%20de%20D%C3%A9veloppement%20Communautaire%20%C3%A0%20Tshopo%20%28PAIDECO%20TSHOPO%29.pdf,
16,Grant / loan,4,Belgium,,2,,Not stated.
17,Unique ID,4,Belgium,,2,,
18,Project Title,4,Belgium,,4,http://www.btcctb.org/files/web/Projetd%E2%80%99Appui%20aux%20Initiatives%20de%20D%C3%A9veloppement%20Communautaire%20%C3%A0%20Tshopo%20%28PAIDECO%20TSHOPO%29.pdf*****http://apps.diplomatie.belgium.be/Oda/ ,
19,Description,4,Belgium,,3,http://www.btcctb.org/files/web/Projetd%E2%80%99Appui%20aux%20Initiatives%20de%20D%C3%A9veloppement%20Communautaire%20%C3%A0%20Tshopo%20%28PAIDECO%20TSHOPO%29.pdf*****http://apps.diplomatie.belgium.be/Oda/ ,
20,Sectors,4,Belgium,,4,http://www.btcctb.org/files/web/Projetd%E2%80%99Appui%20aux%20Initiatives%20de%20D%C3%A9veloppement%20Communautaire%20%C3%A0%20Tshopo%20%28PAIDECO%20TSHOPO%29.pdf*****http://apps.diplomatie.belgium.be/Oda/ ,
21,Planned dates,4,Belgium,,4,http://www.btcctb.org/files/web/Projetd%E2%80%99Appui%20aux%20Initiatives%20de%20D%C3%A9veloppement%20Communautaire%20%C3%A0%20Tshopo%20%28PAIDECO%20TSHOPO%29.pdf,
22,Actual dates,4,Belgium,,2,,
23,Tied aid status,4,Belgium,,2,,
24,Overall cost,4,Belgium,,4,http://www.btcctb.org/files/web/Projetd%E2%80%99Appui%20aux%20Initiatives%20de%20D%C3%A9veloppement%20Communautaire%20%C3%A0%20Tshopo%20%28PAIDECO%20TSHOPO%29.pdf*****http://apps.diplomatie.belgium.be/Oda/ ,
25,Transactions,4,Belgium,,2,,
26,Current status,4,Belgium,,2,,
27,Contact details,4,Belgium,,4,http://www.btcctb.org/files/web/Projetd%E2%80%99Appui%20aux%20Initiatives%20de%20D%C3%A9veloppement%20Communautaire%20%C3%A0%20Tshopo%20%28PAIDECO%20TSHOPO%29.pdf,
28,Project website,4,Belgium,,3,http://www.btcctb.org/files/web/Projetd%E2%80%99Appui%20aux%20Initiatives%20de%20D%C3%A9veloppement%20Communautaire%20%C3%A0%20Tshopo%20%28PAIDECO%20TSHOPO%29.pdf*****http://apps.diplomatie.belgium.be/Oda/ ,
29,Impact appraisal,4,Belgium,,2,,
30,Objectives,4,Belgium,,4,http://www.btcctb.org/files/web/Projetd%E2%80%99Appui%20aux%20Initiatives%20de%20D%C3%A9veloppement%20Communautaire%20%C3%A0%20Tshopo%20%28PAIDECO%20TSHOPO%29.pdf,
31,Beneficiaries,4,Belgium,,4,http://www.btcctb.org/files/web/Projetd%E2%80%99Appui%20aux%20Initiatives%20de%20D%C3%A9veloppement%20Communautaire%20%C3%A0%20Tshopo%20%28PAIDECO%20TSHOPO%29.pdf,
32,Conditions,4,Belgium,,1,,
33,Budget docs,4,Belgium,,3,http://apps.diplomatie.belgium.be/Oda/ ,
34,Tender docs,4,Belgium,,4,http://www.btcctb.org/en/tenders,
35,Contract docs,4,Belgium,,2,,
36,MoU / agreement,4,Belgium,,2,,
37,Project design docs,4,Belgium,,2,,
1,FOIA,5,Cyprus,,0,,
2,IATI,5,Cyprus,,0,,
3,Allocation policy,5,Cyprus,,2,,
4,Procurement policy,5,Cyprus,,1,,
5,Organisation budget,5,Cyprus,,2,,
6,Forward budget,5,Cyprus,,2,,
7,Audit,5,Cyprus,,1,,
8,Country strategy,5,Cyprus,,2,,
9,Country forward budget,5,Cyprus,,1,,
10,Evaluation,5,Cyprus,,1,,
11,Results,5,Cyprus,,1,,
12,Project Implementer,5,Cyprus,,3,http://www.planning.gov.cy/planning/planning.nsf/dmlcyactivities_en/dmlcyactivities_en?OpenDocument ,
13,Collaboration type,5,Cyprus,,3,http://www.planning.gov.cy/planning/planning.nsf/dmlcyactivities_en/dmlcyactivities_en?OpenDocument ,
14,Flow type: ODA / OOF,5,Cyprus,,3,http://www.planning.gov.cy/planning/planning.nsf/dmlcyactivities_en/dmlcyactivities_en?OpenDocument ,
15,Project / budget support,5,Cyprus,,3,http://www.planning.gov.cy/planning/planning.nsf/dmlcyactivities_en/dmlcyactivities_en?OpenDocument ,
16,Grant / loan,5,Cyprus,,3,http://www.planning.gov.cy/planning/planning.nsf/dmlcyactivities_en/dmlcyactivities_en?OpenDocument ,
17,Unique ID,5,Cyprus,,2,,
18,Project Title,5,Cyprus,,3,http://www.planning.gov.cy/planning/planning.nsf/dmlcyactivities_en/dmlcyactivities_en?OpenDocument ,
19,Description,5,Cyprus,,3,http://www.planning.gov.cy/planning/planning.nsf/dmlcyactivities_en/dmlcyactivities_en?OpenDocument ,
20,Sectors,5,Cyprus,,3,http://www.planning.gov.cy/planning/planning.nsf/dmlcyactivities_en/dmlcyactivities_en?OpenDocument ,
21,Planned dates,5,Cyprus,,3,http://www.planning.gov.cy/planning/planning.nsf/dmlcyactivities_en/dmlcyactivities_en?OpenDocument ,
22,Actual dates,5,Cyprus,,3,http://www.planning.gov.cy/planning/planning.nsf/dmlcyactivities_en/dmlcyactivities_en?OpenDocument ,
23,Tied aid status,5,Cyprus,,1,,
24,Overall cost,5,Cyprus,,2,,
25,Transactions,5,Cyprus,,1,,
26,Current status,5,Cyprus,,2,,
27,Contact details,5,Cyprus,,2,,
28,Project website,5,Cyprus,,1,,
