id,organisation_name,organisation_code,indicator_total_weighted_points,indicator_id,indicator_name,indicator_category_name,indicator_subcategory_name,indicator_category_subcategory,indicator_order,indicator_weight,iati_manual,publication_format,publication_format_points,total_points,iati_data_quality_passed,iati_data_quality_points,iati_data_quality_frequency,iati_data_quality_frequency_value,iati_data_quality_frequency_multiplier,iati_data_quality_total_points,survey_publication_status,survey_publication_status_value,survey_ordinal_value,survey_publication_format,survey_publication_format_value,survey_total_points
CN-1-strategy,"China, MOFCOM",CN-1,0,strategy,Organisation strategy,organisation,planning,organisation-planning,4,0.025,manual,document,0,0,0,0,,1,1,0,sometimes,0,,document,50,0
CN-1-annual-report,"China, MOFCOM",CN-1,0,annual-report,Annual report,organisation,planning,organisation-planning,5,0.025,manual,document,0,0,0,0,,1,1,0,not published,0,,document,50,0
CN-1-allocation,"China, MOFCOM",CN-1,0,allocation,Allocation policy,organisation,planning,organisation-planning,6,0.025,manual,document,0,0,0,0,,1,1,0,not published,0,,document,50,0
CN-1-procurement-policy,"China, MOFCOM",CN-1,0,procurement-policy,Procurement policy,organisation,planning,organisation-planning,7,0.025,manual,document,0,0,0,0,,1,1,0,not published,0,,document,50,0
CN-1-country-strategy,"China, MOFCOM",CN-1,0,country-strategy,Country strategy,organisation,planning,organisation-planning,8,0.025,manual,document,0,0,0,0,,1,1,0,not published,0,,document,50,0
CN-1-total-budget,"China, MOFCOM",CN-1,0,total-budget,Total budget,organisation,financial,organisation-financial,9,0.0417,manual,not-published,0,0,0,0,,1,1,0,,0,0,not-published,50,0
CN-1-disaggregated-budgets,"China, MOFCOM",CN-1,0,disaggregated-budgets,Disaggregated budgets,organisation,financial,organisation-financial,10,0.0417,manual,not-published,0,0,0,0,,1,1,0,,0,0,not-published,50,0
CN-1-audit,"China, MOFCOM",CN-1,0,audit,Audit,organisation,financial,organisation-financial,11,0.0417,manual,document,0,0,0,0,,1,1,0,not published,0,,document,50,0
CN-1-implementer,"China, MOFCOM",CN-1,0,implementer,Implementer,activity,basic,activity-basic,12,0.0163,manual,website,0,0,0,0,,1,1,0,sometimes,0,,website,33.33,0
CN-1-unique-id,"China, MOFCOM",CN-1,0,unique-id,Unique ID,activity,basic,activity-basic,13,0.0163,manual,,0,0,0,0,,1,1,0,not published,0,,,0,0
CN-1-title,"China, MOFCOM",CN-1,0,title,Title,activity,basic,activity-basic,14,0.0163,manual,,0,0,0,0,,1,1,0,not published,0,,,0,0
CN-1-description,"China, MOFCOM",CN-1,0,description,Description,activity,basic,activity-basic,15,0.0163,manual,website,0,0,0,0,,1,1,0,sometimes,0,,website,33.33,0
CN-1-dates-planned,"China, MOFCOM",CN-1,0,dates-planned,Planned dates,activity,basic,activity-basic,16,0.0163,manual,,0,0,0,0,,1,1,0,not published,0,,,0,0
CN-1-dates-actual,"China, MOFCOM",CN-1,0,dates-actual,Actual dates,activity,basic,activity-basic,17,0.0163,manual,website,0,0,0,0,,1,1,0,not published,0,,website,33.33,0
CN-1-current-status,"China, MOFCOM",CN-1,0,current-status,Current Status,activity,basic,activity-basic,18,0.0163,manual,website,0,0,0,0,,1,1,0,not published,0,,website,33.33,0
CN-1-contact-details,"China, MOFCOM",CN-1,0,contact-details,Contact details,activity,basic,activity-basic,19,0.0163,manual,,0,0,0,0,,1,1,0,not published,0,,,0,0
CN-1-collaboration-type,"China, MOFCOM",CN-1,0,collaboration-type,Collaboration Type,activity,classifications,activity-classifications,20,0.0186,manual,website,0,0,0,0,,1,1,0,sometimes,0,,website,33.33,0
CN-1-flow-type,"China, MOFCOM",CN-1,0,flow-type,Flow Type,activity,classifications,activity-classifications,21,0.0186,manual,,0,0,0,0,,1,1,0,not published,0,,,0,0
CN-1-aid-type,"China, MOFCOM",CN-1,0,aid-type,Aid Type,activity,classifications,activity-classifications,22,0.0186,manual,website,0,0,0,0,,1,1,0,sometimes,0,,website,33.33,0
CN-1-finance-type,"China, MOFCOM",CN-1,0,finance-type,Finance Type,activity,classifications,activity-classifications,23,0.0186,manual,website,0,0,0,0,,1,1,0,sometimes,0,,website,33.33,0
CN-1-sector,"China, MOFCOM",CN-1,0,sector,Sector,activity,classifications,activity-classifications,24,0.0186,manual,website,0,0,0,0,,1,1,0,sometimes,0,,website,33.33,0
CN-1-location,"China, MOFCOM",CN-1,0,location,Sub-national location,activity,classifications,activity-classifications,25,0.0186,manual,,0,0,0,0,,1,1,0,not published,0,,,0,0
CN-1-tied-aid-status,"China, MOFCOM",CN-1,0,tied-aid-status,Tied Aid Status,activity,classifications,activity-classifications,26,0.0186,manual,,0,0,0,0,,1,1,0,not published,0,,,0,0
CN-1-mou,"China, MOFCOM",CN-1,0,mou,MoU,activity,related-documents,activity-related-documents,27,0.0217,manual,document,0,0,0,0,,1,1,0,not published,0,,document,50,0
CN-1-evaluations,"China, MOFCOM",CN-1,0,evaluations,Evaluations,activity,related-documents,activity-related-documents,28,0.0217,manual,document,0,0,0,0,,1,1,0,not published,0,,document,50,0
CN-1-objectives,"China, MOFCOM",CN-1,0,objectives,Objectives,activity,related-documents,activity-related-documents,29,0.0217,manual,document,0,0,0,0,,1,1,0,not published,0,,document,50,0
CN-1-budget,"China, MOFCOM",CN-1,0,budget,Budget Docs,activity,related-documents,activity-related-documents,30,0.0217,manual,document,0,0,0,0,,1,1,0,not published,0,,document,50,0
CN-1-contracts,"China, MOFCOM",CN-1,0,contracts,Contracts,activity,related-documents,activity-related-documents,31,0.0217,manual,document,0,0,0,0,,1,1,0,not published,0,,document,50,0
CN-1-tenders,"China, MOFCOM",CN-1,0,tenders,Tenders,activity,related-documents,activity-related-documents,32,0.0217,manual,document,0,0,0,0,,1,1,0,not published,0,,document,50,0
CN-1-cost-overall,"China, MOFCOM",CN-1,0,cost-overall,Budget,activity,financial,activity-financial,33,0.0325,manual,,0,0,0,0,,1,1,0,not published,0,,,0,0
CN-1-expenditure-planned,"China, MOFCOM",CN-1,0,expenditure-planned,Commitments,activity,financial,activity-financial,34,0.0325,manual,website,0,0,0,0,,1,1,0,sometimes,0,,website,33.33,0
