Short name (e.g. for graph),Full name on donor profile,Overview,Analysis,Recommendations
AfDB,African Development Bank (AfDB),"The African Development Bank (AfDB) was established to promote regional cooperation and unity across the Africa region. It provides non-concessional and concessional loans, equity investments, loan guarantees, grants and technical assistance to lower and middle-income governments and the private sector. The AfDB became an IATI member in 2011 and started publishing IATI data in June 2013. ",,
AsDB,Asian Development Bank (AsDB),"The Asian Development Bank (AsDB) provides non-concessional loans, equity investments, loan guarantees, concessional loans, grants and technical assistance to lower and middle-income governments, as well as the private sector, in Asia and the Pacific. It also engages in projects more directly orientated towards social development and poverty alleviation. The AsDB is not an IATI member but does publish to the IATI Standard. It's first publication was in June 2013. ",,
"Australia, DFAT",Australia – Department of Foreign Affairs and Trade (DFAT),"In November 2013, AusAID was integrated into the Department of Foreign Affairs and Trade (DFAT), which is now responsible for implementing Australia’s aid programme. Its aims include advancing Australia's security interests internationally and raising the living standards through reducing poverty in the Indo-Pacific region. Australia became a member of IATI in 2008 and first published IATI data in September 2011.",,
"Belgium, DGD",Belgium – Directorate-General for Development Cooperation and Humanitarian Aid (DGD),The Directorate-General for Development Cooperation and Humanitarian Aid (DGD) is responsible for setting Belgium's development policy and allocating its aid. Belgium became an IATI member in 2012 and first published to IATI in December 2014. ,,
"Canada, Global Affairs",Canada – Global Affairs Canada,"Having changed its name in 2015, Global Affairs Canada is the largest grantor of Canadian ODA and leads Canada’s bilateral development assistance. Its priorities for 2017-18 include commitments to openness and transparency, in particular in evaluation and reporting. Canada will take Presidency of the G7 in 2018. It became a member of IATI in November 2011 and published its first quarterly data sets on October 31, 2012. Canada currently Chairs the IATI Members Assembly.",,
"China, MOFCOM",China – Ministry of Commerce (MOFCOM),"China published its first White Paper on its foreign aid policy in 2011 and a second in July 2014. According to this, China provides grants, interest-free loans and concessional loans. China's Ministry of Commerce (MOFCOM) is in charge of development policy and projects. At present, China is not an IATI member and does not publish IATI data. ",,
"Denmark, MFA",Denmark – Ministry of Foreign Affairs,The Ministry of Foreign Affairs of Denmark is responsible for Denmark's development cooperation to which it refers to as Danida. Denmark became an IATI member in 2008 and started publishing to IATI in March 2012. ,,
"EC, DEVCO",EC – Directorate-General for International Cooperation and Development (DG DEVCO),"The Directorate-General for International Cooperation and Development (DG DEVCO) is responsible for formulating European Commission (EC) development policy and implementing European Union development cooperation worldwide. DG DEVCO manages a number of financing instruments, most notably the Development Cooperation Instrument (DCI) and the European Instrument for Democracy and Human Rights (EIDHR). The EC became an IATI member in 2008. DG DEVCO began publishing to IATI in October 2011 and convenes an internal EC working group on improving IATI publication. ",,
"EC, ECHO",EC - Directorate-General for European Civil Protection and Humanitarian Aid Operations (DG ECHO),The Directorate-General for European Civil Protection and Humanitarian Aid Operations (DG ECHO) is responsible for formulating European Commission (EC) humanitarian aid policy and delivering European Union relief assistance through its two main instruments: civil protection and humanitarian aid. The EC joined IATI in 2008 and DG ECHO began publishing to IATI in September 2013.,,
"EC, NEAR",EC – Directorate-General for Neighbourhood and Enlargement Negotiations (DG NEAR),The Directorate-General for Neighbourhood and Enlargement Negotiations (DG NEAR) is responsible for the European Union (EU) enlargement policies and its relations with neighbouring countries. It manages the bulk of the EU’s financial and technical assistance to these countries. The European Commission became an IATI member in 2008 and DG NEAR began publishing to IATI in September 2013.,,
EBRD,European Bank for Reconstruction and Development (EBRD),"The European Bank for Reconstruction and Development (EBRD) is a multilateral development bank that aims to promote transition in Central and Eastern Europe, Central Asia and the Southern and Eastern Mediterranean. It provies loans, equity investments and guarantees as well as business advisory services.The Bank is accountable to its shareholders, which include countries from both the region and the rest of the world, plus the European Union and the European Investment Bank. The EBRD is not an IATI member but started publishing to IATI in May 2015. ",,
EIB,European Investment Bank (EIB),"The European Investment Bank (EIB) is the European Union’s bank, owned by its member states. It works with other EU institutions to support EU policy and provides lending, blended finance and technical advice for investment both within and outside the EU. The EIB convenes a working group for DFIs to share best practice on publishing to IATI. They became an IATI member in 2013 and started publishing IATI data in September 2014. ",,
"Finland, MFA",Finland – Ministry of Foreign Affairs,"The Department for Development Policy sits within the Ministry of Foreign Affairs and is responsible for implementing Finland’s development cooperation. The four priority areas are the rights and status of women and girls; the growth of developing economies; deomcratic and better functioning societies; and food security, access to energy and sustainable use of natural resources. Finland has been an IATI member since 2008 and first published to IATI in November 2011.",,
"France, AFD",France – French Development Agency (AFD),"The French Development Agency (AFD) is a public agency central to French development cooperation. It works to combat poverty and foster development in the global South. AFD is responsible for funding projects, programmes and research and building capacity in developing countries. It is supervised by the French Ministry of Europe and Foreign Affairs (MEAE). AFD first published IATI data in April 2015 and became an IATI member in 2016.",,
"France, MEAE",France – Ministry for Europe and Foreign Affairs (MEAE),"The Ministry for Europe and Foreign Affairs (MEAE) is responsible for setting France's development cooperation policy. MEAE provides or loans project aid, budgetary aid and technical assistance. MEAE is not an IATI member but has published IATI data since January 2014. ",,
