org id,publisher,score,year,performance group
XM-DAC-41114,UNDP,93.3,2016,Very good
US-18,"US, MCC",89.6,2016,Very good
41122,UNICEF,89.5,2016,Very good
GB-GOV-1,"UK, DFID",88.3,2016,Very good
47045,Global Fund,86.9,2016,Very good
44002,"World Bank, IDA",86.1,2016,Very good
XI-IATI-IADB,IADB,85.6,2016,Very good
46004,AsDB,84.9,2016,Very good
SE-0,"Sweden, Sida",80.7,2016,Very good
46002,AfDB,80.2,2016,Very good
47122,GAVI,78.0,2016,Good
CA-3,"Canada, Global Affairs",76.3,2016,Good
XI-IATI-EC_NEAR,"EC, NEAR",74.1,2016,Good
XI-IATI-EC_ECHO,"EC, ECHO",71.9,2016,Good
XI-IATI-EC_DEVCO,"EC, DEVCO",68.7,2016,Good
XM-DAC-7,"Netherlands, MFA",66.6,2016,Good
DK-1,"Denmark, MFA",64.7,2016,Good
DE-1,"Germany, BMZ-GIZ",63.2,2016,Good
US-GOV-1,"US, USAID",59.1,2016,Fair
DE-2,"Germany, BMZ-KFW",59.0,2016,Fair
,"US, Treasury",58.1,2016,Fair
US-14,"US, PEPFAR",57.6,2016,Fair
US-11,"US, State",53.9,2016,Fair
XM-DAC-918-3,EIB,53.5,2016,Fair
AU-5,"Australia, DFAT",49.9,2016,Fair
46015,EBRD,49.7,2016,Fair
XM-DAC-2-10,"Belgium, DGD",47.7,2016,Fair
US-7,"US, Defense",46.7,2016,Fair
ES-DIR3-E04585801,"Spain, AECID",46.2,2016,Fair
DAC-1601,Gates Foundation,46.0,2016,Fair
CH-4,"Switzerland, SDC",45.4,2016,Fair
FR-3,"France, AFD",45.2,2016,Fair
XM-DAC-701-8,"Japan, JICA",44.2,2016,Fair
NO-4,"Norway, MFA",41.9,2016,Fair
FI-3,"Finland, MFA",38.5,2016,Poor
FR-6,"France, MEAE",38.0,2016,Poor
XM-DAC-41127,UN OCHA,37.0,2016,Poor
XM-DAC-21-1,"Ireland, Irish Aid",37.0,2016,Poor
,IMF,31.3,2016,Poor
44004,"World Bank, IFC",30.9,2016,Poor
